raceSpace,titleSpace,candidateSpace,iteration,raceIndex,raceLength,column,yPos,votedOn
5,20,15,14,27,3,3,490,17
5,20,15,14,28,1,3,560,-1
5,20,15,15,0,3,1,10,0
5,20,15,15,1,1,1,80,3
5,20,15,15,2,4,1,120,6
5,20,15,15,3,2,1,205,-1
5,20,15,15,4,3,1,260,9
5,20,15,15,5,1,1,330,12
5,20,15,15,6,4,1,370,15
5,20,15,15,7,2,1,455,17
5,20,15,15,8,2,1,510,20
5,20,15,15,9,3,2,10,1
5,20,15,15,10,3,2,80,4
5,20,15,15,11,2,2,150,7
5,20,15,15,12,3,2,205,-1
5,20,15,15,13,2,2,275,10
5,20,15,15,14,1,2,330,13
5,20,15,15,15,4,2,370,16
5,20,15,15,16,2,2,455,18
5,20,15,15,17,2,2,510,21
5,20,15,15,18,1,2,565,-1
5,20,15,15,19,4,3,10,2
5,20,15,15,20,4,3,95,5
5,20,15,15,21,3,3,180,8
5,20,15,15,22,4,3,250,11
5,20,15,15,23,3,3,335,14
5,20,15,15,24,2,3,405,-1
5,20,15,15,25,2,3,460,19
5,20,15,15,26,4,3,515,22
5,20,15,16,0,1,1,10,0
5,20,15,16,1,2,1,50,3
5,20,15,16,2,1,1,105,6
5,20,15,16,3,2,1,145,9
5,20,15,16,4,2,1,200,10
5,20,15,16,5,2,1,255,13
5,20,15,16,6,3,1,310,16
5,20,15,16,7,2,1,380,17
5,20,15,16,8,2,1,435,20
5,20,15,16,9,1,1,490,23
5,20,15,16,10,1,1,530,24
5,20,15,16,11,1,2,10,1
5,20,15,16,12,3,2,50,4
5,20,15,16,13,4,2,120,7
5,20,15,16,14,4,2,205,11
5,20,15,16,15,4,2,290,14
5,20,15,16,16,4,2,375,18
5,20,15,16,17,4,2,460,21
5,20,15,16,18,1,2,545,25
5,20,15,16,19,2,3,10,2
5,20,15,16,20,1,3,65,5
5,20,15,16,21,4,3,105,8
5,20,15,16,22,4,3,190,12
5,20,15,16,23,4,3,275,15
5,20,15,16,24,4,3,360,19
5,20,15,16,25,3,3,445,22
5,20,15,16,26,1,3,515,26
5,20,15,17,0,1,1,10,0
5,20,15,17,1,4,1,50,3
5,20,15,17,2,4,1,135,6
5,20,15,17,3,4,1,220,9
5,20,15,17,4,2,1,305,12
5,20,15,17,5,3,1,360,15
5,20,15,17,6,4,1,430,17
5,20,15,17,7,4,1,515,20
5,20,15,17,8,3,2,10,1
5,20,15,17,9,4,2,80,4
5,20,15,17,10,3,2,165,7
5,20,15,17,11,4,2,235,10
5,20,15,17,12,1,2,320,13
5,20,15,17,13,2,2,360,16
5,20,15,17,14,4,2,415,18
5,20,15,17,15,3,2,500,21
5,20,15,17,16,1,3,10,2
5,20,15,17,17,1,3,50,-1
5,20,15,17,18,3,3,90,5
5,20,15,17,19,3,3,160,8
5,20,15,17,20,1,3,230,11
5,20,15,17,21,2,3,270,-1
5,20,15,17,22,3,3,325,14
5,20,15,17,23,1,3,395,19
5,20,15,17,24,2,3,435,-1
5,20,15,17,25,2,3,490,22
5,20,15,18,0,4,1,10,0
5,20,15,18,1,4,1,95,3
5,20,15,18,2,2,1,180,6
5,20,15,18,3,1,1,235,9
5,20,15,18,4,4,1,275,-1
5,20,15,18,5,4,1,360,12
5,20,15,18,6,4,1,445,15
5,20,15,18,7,3,1,530,17
5,20,15,18,8,3,2,10,1
5,20,15,18,9,1,2,80,4
5,20,15,18,10,3,2,120,-1
5,20,15,18,11,4,2,190,7
5,20,15,18,12,2,2,275,10
5,20,15,18,13,1,2,330,-1
5,20,15,18,14,1,2,370,13
5,20,15,18,15,3,2,410,16
5,20,15,18,16,1,2,480,-1
5,20,15,18,17,1,2,520,18
5,20,15,18,18,3,3,10,2
5,20,15,18,19,1,3,80,5
5,20,15,18,20,2,3,120,-1
5,20,15,18,21,4,3,175,8
5,20,15,18,22,2,3,260,11
5,20,15,18,23,4,3,315,-1
5,20,15,18,24,1,3,400,14
5,20,15,18,25,4,3,440,19
5,20,15,19,0,4,1,10,0
5,20,15,19,1,4,1,95,3
5,20,15,19,2,3,1,180,6
5,20,15,19,3,3,1,250,-1
5,20,15,19,4,4,1,320,9
5,20,15,19,5,4,1,405,12
5,20,15,19,6,1,1,490,15
5,20,15,19,7,4,2,10,1
5,20,15,19,8,1,2,95,4
5,20,15,19,9,4,2,135,-1
5,20,15,19,10,2,2,220,7
5,20,15,19,11,1,2,275,-1
5,20,15,19,12,3,2,315,10
5,20,15,19,13,1,2,385,13
5,20,15,19,14,4,2,425,-1
5,20,15,19,15,3,2,510,16
5,20,15,19,16,1,3,10,2
5,20,15,19,17,2,3,50,-1
5,20,15,19,18,4,3,105,5
5,20,15,19,19,2,3,190,-1
5,20,15,19,20,4,3,245,8
5,20,15,19,21,3,3,330,11
5,20,15,19,22,1,3,400,14
5,20,15,19,23,3,3,440,-1
5,20,15,19,24,4,3,510,17
5,20,15,20,0,1,1,10,0
5,20,15,20,1,1,1,50,3
5,20,15,20,2,2,1,90,6
5,20,15,20,3,4,1,145,9
5,20,15,20,4,1,1,230,12
5,20,15,20,5,3,1,270,15
5,20,15,20,6,3,1,340,18
5,20,15,20,7,2,1,410,-1
5,20,15,20,8,3,1,465,21
5,20,15,20,9,1,1,535,24
5,20,15,20,10,1,2,10,1
5,20,15,20,11,2,2,50,4
5,20,15,20,12,3,2,105,7
5,20,15,20,13,1,2,175,10
5,20,15,20,14,2,2,215,13
5,20,15,20,15,4,2,270,16
5,20,15,20,16,3,2,355,19
5,20,15,20,17,1,2,425,-1
5,20,15,20,18,4,2,465,22
5,20,15,20,19,2,2,550,25
5,20,15,20,20,1,3,10,2
5,20,15,20,21,1,3,50,5
5,20,15,20,22,2,3,90,8
5,20,15,20,23,3,3,145,11
5,20,15,20,24,1,3,215,14
5,20,15,20,25,3,3,255,17
5,20,15,20,26,2,3,325,-1
5,20,15,20,27,3,3,380,20
5,20,15,20,28,1,3,450,23
5,20,15,20,29,3,3,490,-1
5,20,15,20,30,1,3,560,26
5,20,15,21,0,3,1,10,0
5,20,15,21,1,1,1,80,3
5,20,15,21,2,3,1,120,6
5,20,15,21,3,4,1,190,7
5,20,15,21,4,2,1,275,10
5,20,15,21,5,2,1,330,13
5,20,15,21,6,4,1,385,16
5,20,15,21,7,3,1,470,19
5,20,15,21,8,2,1,540,22
5,20,15,21,9,4,2,10,1
5,20,15,21,10,4,2,95,4
5,20,15,21,11,2,2,180,8
5,20,15,21,12,4,2,235,11
5,20,15,21,13,4,2,320,14
5,20,15,21,14,3,2,405,17
5,20,15,21,15,4,2,475,20
5,20,15,21,16,2,3,10,2
5,20,15,21,17,3,3,65,5
5,20,15,21,18,2,3,135,-1
5,20,15,21,19,3,3,190,9
5,20,15,21,20,3,3,260,12
5,20,15,21,21,3,3,330,15
5,20,15,21,22,4,3,400,18
5,20,15,21,23,3,3,485,21
5,20,16,1,0,3,1,10,0
5,20,16,1,1,3,1,83,3
5,20,16,1,2,4,1,156,6
5,20,16,1,3,1,1,245,-1
5,20,16,1,4,3,1,286,9
5,20,16,1,5,4,1,359,12
5,20,16,1,6,4,1,448,15
5,20,16,1,7,1,1,537,18
5,20,16,1,8,2,2,10,1
5,20,16,1,9,1,2,67,4
5,20,16,1,10,4,2,108,-1
5,20,16,1,11,3,2,197,7
5,20,16,1,12,3,2,270,10
5,20,16,1,13,3,2,343,13
5,20,16,1,14,1,2,416,-1
5,20,16,1,15,2,2,457,16
5,20,16,1,16,3,2,514,19
5,20,16,1,17,1,3,10,2
5,20,16,1,18,4,3,51,5
5,20,16,1,19,4,3,140,-1
5,20,16,1,20,1,3,229,8
5,20,16,1,21,3,3,270,11
5,20,16,1,22,4,3,343,14
5,20,16,1,23,4,3,432,17
5,20,16,1,24,3,3,521,20
5,20,16,2,0,3,1,10,0
5,20,16,2,1,2,1,83,3
5,20,16,2,2,2,1,140,6
5,20,16,2,3,3,1,197,8
5,20,16,2,4,1,1,270,11
5,20,16,2,5,2,1,311,13
5,20,16,2,6,2,1,368,16
5,20,16,2,7,4,1,425,18
5,20,16,2,8,4,1,514,21
5,20,16,2,9,1,2,10,1
5,20,16,2,10,3,2,51,4
5,20,16,2,11,1,2,124,7
5,20,16,2,12,2,2,165,-1
5,20,16,2,13,1,2,222,9
5,20,16,2,14,1,2,263,12
5,20,16,2,15,1,2,304,14
5,20,16,2,16,3,2,345,17
5,20,16,2,17,3,2,418,19
5,20,16,2,18,1,2,491,-1
5,20,16,2,19,2,2,532,22
5,20,16,2,20,3,3,10,2
5,20,16,2,21,4,3,83,5
5,20,16,2,22,2,3,172,-1
5,20,16,2,23,3,3,229,10
5,20,16,2,24,4,3,302,15
5,20,16,2,25,4,3,391,20
5,20,16,2,26,2,3,480,-1
5,20,16,2,27,1,3,537,23
5,20,16,3,0,2,1,10,0
5,20,16,3,1,2,1,67,3
5,20,16,3,2,1,1,124,-1
5,20,16,3,3,4,1,165,6
5,20,16,3,4,3,1,254,9
5,20,16,3,5,2,1,327,12
5,20,16,3,6,2,1,384,15
5,20,16,3,7,1,1,441,-1
5,20,16,3,8,1,1,482,18
5,20,16,3,9,4,2,10,1
5,20,16,3,10,2,2,99,4
5,20,16,3,11,4,2,156,7
5,20,16,3,12,2,2,245,10
5,20,16,3,13,1,2,302,-1
5,20,16,3,14,3,2,343,13
5,20,16,3,15,2,2,416,16
5,20,16,3,16,4,2,473,19
5,20,16,3,17,4,3,10,2
5,20,16,3,18,1,3,99,5
5,20,16,3,19,1,3,140,8
5,20,16,3,20,3,3,181,-1
5,20,16,3,21,3,3,254,11
5,20,16,3,22,4,3,327,14
5,20,16,3,23,2,3,416,17
5,20,16,3,24,2,3,473,20
5,20,16,3,25,1,3,530,-1
5,20,16,4,0,2,1,10,0
5,20,16,4,1,1,1,67,3
5,20,16,4,2,3,1,108,5
5,20,16,4,3,2,1,181,8
5,20,16,4,4,3,1,238,11
5,20,16,4,5,4,1,311,14
5,20,16,4,6,3,1,400,17
5,20,16,4,7,2,1,473,20
5,20,16,4,8,1,1,530,-1
5,20,16,4,9,1,2,10,1
5,20,16,4,10,1,2,51,4
5,20,16,4,11,4,2,92,6
5,20,16,4,12,1,2,181,9
5,20,16,4,13,3,2,222,12
5,20,16,4,14,3,2,295,15
5,20,16,4,15,2,2,368,-1
5,20,16,4,16,4,2,425,18
5,20,16,4,17,1,2,514,21
5,20,16,4,18,4,3,10,2
5,20,16,4,19,3,3,99,7
5,20,16,4,20,3,3,172,10
5,20,16,4,21,1,3,245,13
5,20,16,4,22,1,3,286,16
5,20,16,4,23,3,3,327,-1
5,20,16,4,24,2,3,400,19
5,20,16,4,25,2,3,457,-1
5,20,16,4,26,3,3,514,22
5,20,16,5,0,4,1,10,0
5,20,16,5,1,4,1,99,3
5,20,16,5,2,2,1,188,6
5,20,16,5,3,4,1,245,9
5,20,16,5,4,2,1,334,12
5,20,16,5,5,2,1,391,15
5,20,16,5,6,1,1,448,16
5,20,16,5,7,1,1,489,19
5,20,16,5,8,4,2,10,1
5,20,16,5,9,1,2,99,4
5,20,16,5,10,1,2,140,-1
5,20,16,5,11,3,2,181,7
5,20,16,5,12,1,2,254,10
5,20,16,5,13,2,2,295,-1
5,20,16,5,14,4,2,352,13
5,20,16,5,15,1,2,441,17
5,20,16,5,16,1,2,482,20
5,20,16,5,17,3,2,523,-1
5,20,16,5,18,4,3,10,2
5,20,16,5,19,2,3,99,5
5,20,16,5,20,2,3,156,8
5,20,16,5,21,3,3,213,-1
5,20,16,5,22,2,3,286,11
5,20,16,5,23,1,3,343,14
5,20,16,5,24,1,3,384,-1
5,20,16,5,25,4,3,425,18
5,20,16,5,26,3,3,514,21
5,20,16,6,0,3,1,10,0
5,20,16,6,1,4,1,83,3
5,20,16,6,2,4,1,172,5
5,20,16,6,3,2,1,261,8
5,20,16,6,4,2,1,318,11
5,20,16,6,5,2,1,375,14
5,20,16,6,6,3,1,432,17
5,20,16,6,7,4,1,505,20
5,20,16,6,8,1,2,10,1
5,20,16,6,9,4,2,51,4
5,20,16,6,10,1,2,140,-1
5,20,16,6,11,4,2,181,6
5,20,16,6,12,1,2,270,9
5,20,16,6,13,3,2,311,12
5,20,16,6,14,2,2,384,15
5,20,16,6,15,1,2,441,18
5,20,16,6,16,4,2,482,21
5,20,16,6,17,4,3,10,2
5,20,16,6,18,4,3,99,-1
5,20,16,6,19,2,3,188,7
5,20,16,6,20,3,3,245,10
5,20,16,6,21,2,3,318,13
5,20,16,6,22,3,3,375,16
5,20,16,6,23,1,3,448,19
5,20,16,6,24,3,3,489,22
5,20,16,7,0,1,1,10,0
5,20,16,7,1,1,1,51,3
5,20,16,7,2,1,1,92,6
5,20,16,7,3,2,1,133,9
5,20,16,7,4,1,1,190,10
5,20,16,7,5,4,1,231,13
5,20,16,7,6,2,1,320,14
5,20,16,7,7,1,1,377,17
5,20,16,7,8,1,1,418,19
5,20,16,7,9,1,1,459,22
5,20,16,7,10,1,1,500,-1
5,20,16,7,11,1,1,541,25
5,20,16,7,12,1,2,10,1
5,20,16,7,13,2,2,51,4
5,20,16,7,14,4,2,108,7
5,20,16,7,15,3,2,197,11
5,20,16,7,16,2,2,270,-1
5,20,16,7,17,1,2,327,15
5,20,16,7,18,2,2,368,18
5,20,16,7,19,1,2,425,20
5,20,16,7,20,2,2,466,23
5,20,16,7,21,3,2,523,26
5,20,16,7,22,2,3,10,2
5,20,16,7,23,1,3,67,5
5,20,16,7,24,2,3,108,8
5,20,16,7,25,4,3,165,12
5,20,16,7,26,4,3,254,-1
5,20,16,7,27,4,3,343,16
5,20,16,7,28,2,3,432,21
5,20,16,7,29,2,3,489,24
5,20,16,8,0,4,1,10,0
5,20,16,8,1,4,1,99,3
5,20,16,8,2,1,1,188,6
5,20,16,8,3,3,1,229,-1
5,20,16,8,4,3,1,302,9
